	KRASQH-7.rpkmlog	KRASQH-4.rpkmlog	KRASQH-6.rpkmlog	KRASQH-2.rpkmlog	KRASQH-1.rpkmlog	KRASQH-9.rpkmlog	KRASQH-3.rpkmlog	KRASQH-5.rpkmlog	KRASQH-8.rpkmlog
MTVR2	0.0744860763987795	0	0	0	0	0	0	0	0
CHMP1B	5.43935094344381	5.38923888859251	5.42174745004748	5.36320738743428	5.37204267811404	5.40146422808436	5.36226240590302	5.32740408691165	5.39746459947661
DISC2	0	0	0	0	0	0	0	0	0
LOC100506866	0.21610648300011	0.168577406430378	0.102819273279545	0.115293759810785	0.20711872568401	0.166162261971114	0.113345625656133	0.154243400088837	0.151287294560189
LOC441204	0	0	0	0	0	0	0	0	0.0362990618737593
TCOF1	3.47984804749002	3.46019498964266	3.46681047372742	3.55234391898426	3.41291085160311	3.52415558448582	3.4399334600595	3.49997446550875	3.47180193038754
NSRP1	3.55375602272186	3.45497436652881	3.45839888649219	3.46387176082118	3.57039331492313	3.55048613596841	3.46749284462528	3.37217383549488	3.57398789636486
SPPL3	3.88104497630766	3.83791764411695	3.8761879805478	3.88418822010329	3.93335704260926	3.84191433167507	3.89070407361122	3.96811527001896	3.88937268910974
OPA3	2.585673213626	2.55403988355146	2.47658714251848	2.51850860049197	2.49622382295864	2.51647486548843	2.55968994526529	2.53548379529209	2.59062169949175
OPA1	4.24114400878899	4.23547316498789	4.22343672103512	4.11441552503736	4.25902318688222	4.25096235465274	4.17092595961018	4.14409210950294	4.23653893198981
ITGA8	0	0	0	0	0	0	0	0	0
ITGA9	0.257574676309234	0.235967941119312	0.402367933368358	0.223700016490085	0.285827743201634	0.397463606913661	0.248920246918476	0.417098926135547	0.236723460018921
ITGA1	1.07273900645903	1.10221761950587	1.15083586997912	1.05068701670559	1.07774053880077	1.03430695254417	1.07883202991438	1.04285260686385	0.991183317777717
ITGA2	5.64450470090069	5.6642377913166	5.75257592967759	5.55464643148949	5.64349004942101	5.67502118426051	5.54232465597652	5.54710936637237	5.63234450948787
ITGA3	8.66772634613366	8.73838355824477	8.69301058966974	8.76951478394622	8.69388206797111	8.68780939681693	8.74379315223455	8.75455569394844	8.67372036238398
ITGA4	2.13946631810159	2.21496527906176	2.36850213624703	2.09304659517524	2.20909269036955	2.21774043543965	2.12788851930096	2.15910889523746	2.22431097877041
ITGA5	6.08524502000855	6.19223504102481	6.20930381733019	6.21632107085702	6.13221823104991	6.14660218215662	6.21655012676632	6.2092073198989	6.10253939881883
ITGA6	8.46631155658231	8.48522054150229	8.48009205738493	8.38637821939921	8.52045026892556	8.45172342784917	8.42513481445672	8.38699677898892	8.42089981571979
ITGA7	0.134214315236846	0.123982917185742	0.187833928912266	0.13801356872871	0.0753958229513587	0.0825918850925679	0.161372047228413	0.0607350077804783	0.053345331896513
TRHR	0	0	0	0	0	0.043550167080076	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0
UFSP2	3.45482167730386	3.5149778370194	3.43583321531533	3.42982080758249	3.43774464762904	3.44988635175858	3.33109737517942	3.26751824078825	3.38549366088041
FAM212B	1.69476746299892	1.68512111476106	1.61642638088816	1.7080575290628	1.66095628509203	1.67963145756613	1.70718410722481	1.72978785344805	1.67897137197377
FAM212A	4.1568401339082	4.11884705832828	4.20032954828896	4.30326966491484	4.01923256707482	4.04807651981621	4.31757950116111	4.2415640060767	4.09622362260937
CHST9	0.0758208347484405	0.198072031199481	0.0829763218915826	0.127770316815026	0.157658847656456	0.125099094049311	0.0443130318333885	0.0670812033089264	0.120176427391401
CHST8	0	0.0642632346057311	0.0462482289102681	0.0434480249004485	0.149167369526633	0.0838101347088017	0.0366732617437397	0.0736554370231659	0
CHST1	0.149518617258727	0.195580272275958	0.16324661523771	0.182601888473407	0.0704933039672497	0.192803473931864	0.130515083743969	0.157795492688802	0.130836519664519
CHST3	4.54829364359989	4.68433409398028	4.61330839839832	4.66005923590924	4.66070812034444	4.5616377920088	4.61265807351019	4.69510080706491	4.61397297699144
CHST2	2.97334610518641	3.07997611233398	2.88771479579161	3.06480439510249	3.0934244706762	2.91787059886759	3.20680569122563	3.2386738052728	2.95988129263243
CHST5	0.110269547754729	0.0385460736844312	0.101138833975167	0.076593441039859	0.117681718983714	0.0191094366822934	0.126747403837058	0.0658571671876578	0.123677515184564
CHST4	0.29136152570738	0.228553717017354	0.340265344912473	0.253422257312234	0.368235527246549	0.293262458817095	0.350385193478391	0.299003047093662	0.324455098301625
CHST7	0.963090170724417	1.07336590080967	0.970845973917394	0.941223057299464	0.942633737874552	1.02242670908627	1.24618052795192	1.08177216711616	1.16400872395664
CHST6	0.426207085292806	0.434567619292117	0.372733530336892	0.381197289618683	0.438651931297003	0.338397395555133	0.3942585730578	0.369749604247715	0.393822078738938
ITGAX	0.256220971762916	0.167413367385809	0.204516549584286	0.131316660987712	0.194455316230334	0.152969468777046	0.292410331973136	0.228258593073688	0.181529304347391
BCL2A1	0.399855899945572	0.246891320629982	0.32225173139929	0.358257686783486	0.170610098185791	0.298389216912791	0.307269748483166	0.402661090041604	0.387899052317479
ITGAV	5.86513809827348	5.88736456288971	5.90220732107457	5.75743954626756	5.94534581080236	5.83335475175425	5.74715331943613	5.73661140990661	5.85599961452173
PREP	5.43900064962659	5.51380313125969	5.51009125693488	5.45620481274892	5.49587434993453	5.49365513671649	5.45559521550094	5.46167112442807	5.46997194682259
ITGAL	0.168506971163636	0.182892136729056	0.206706379135903	0.162297172538193	0.165049413861027	0.137281134362857	0.165751381399447	0.177771741001479	0.110737754173143
ITGAM	0	0	0.0284218264878975	0	0.0119479057739172	0.026113676979672	0	0.0114923667066333	0.0250519764712968
ITGAD	0	0	0	0	0	0	0	0	0
ITGAE	2.28295780702714	2.0712251205956	2.20368369966583	2.0389598682746	2.0487791776751	2.18837409993276	1.89339046425039	2.00274755364675	2.07296233275487
IGF2R	5.62009121072026	5.65171438003969	5.59941520701859	5.70616793162967	5.60617436025629	5.54649902988968	5.64305289941386	5.68232581160796	5.56704864551063
LOC649395	3.87282609416497	3.80691134729051	3.95272259727734	3.90285052449635	3.95294391423413	3.73334794458899	3.78407651289371	3.69329604182815	3.90949403741722
SLC36A3	0.0206597030481606	0.0211257104300347	0	0.0212684581723733	0.0189590939807182	0.0208075911345984	0	0	0.0199601295096669
CKS1B	2.78942548569528	2.83656119603362	3.06286337807565	2.78603113785232	2.72123817611233	2.95484120779703	2.60576409620136	2.89686666830912	2.76593023559304
SLC36A1	2.33750478640091	2.37844294812042	2.37926527459547	2.38846898161976	2.43345931128657	2.47415435386154	2.36419855491317	2.44633536505314	2.39746677294961
LOC729264	0.277677971632879	0.423418695593603	0.221969229132116	0.129165602496016	0.256595740724723	0.279498008423943	0.0739302148653649	0.18106175638681	0.159817731569003
C14orf118	3.32907932006378	3.32845841205002	3.45990823197091	3.26773576724397	3.35410688751904	3.37241827106959	3.40761928286821	3.31000172759716	3.31076054948468
ARTN	3.97432298680747	4.1698258870609	4.06054328280758	4.19531405847701	3.97603986868235	3.99617328778547	4.25086719154813	4.27861389832924	3.92141691055618
ART1	0	0	0.0509931064763372	0	0	0	0	0	0
ART3	0.377158663501232	0.3272756819421	0.317128516252111	0.329267456123049	0.496756686204397	0.407095601013721	0.203041425039105	0.178578109910975	0.418668193087579
ART5	0.0392008895968369	0.0400793485668469	0	0	0.0359929803912482	0.0394796969697354	0	0.0684513301976235	0.0747940542641173
ART4	0	0	0	0	0	0	0	0	0
MGC57346	1.65385657336436	1.62620143330057	1.6343485826456	1.60120166090016	1.74121804445963	1.66468140190138	1.69127645355575	1.64666266851539	1.79071606894732
CRTAM	0.438591980289269	0.195777765179238	0.412853853344477	0.307763701956062	0.352721100387509	0.301701964117203	0.187293395226803	0.358433773705189	0.310592563631118
CADPS2	0.976638742566355	1.04412847528384	0.97167029143744	0.933052357332388	0.911653508223168	1.12512834910171	0.912346912418976	0.86595300706491	0.88985297386173
RLF	2.98017305431496	2.93339147153453	2.90595115854008	2.90004492955182	2.92315367550535	3.00426654060348	2.85787102964093	2.8270368650607	2.88814623051472
CRTAP	4.35233826559502	4.35873417383621	4.30641210035266	4.33985012169451	4.41294003412475	4.38756800125258	4.33986437408711	4.36612509553989	4.30751438935247
ADPGK	4.29316448891442	4.27041991216791	4.34144411196154	4.26779449624985	4.28117411115605	4.36225939333713	4.23465958938998	4.25079585989704	4.26606617821457
HPYR1	0	0	0	0	0	0	0	0	0
CPEB4	2.81370004684962	2.75825129132582	2.78014690438069	2.63239707468594	2.78274687394026	2.75625403483226	2.68394478390597	2.61448351244446	2.65313078435842
CPEB1	0.274500292886506	0.353184711442545	0.375794626745533	0.220355295602238	0.346367662432664	0.168858029924288	0.317135065711608	0.244707596824594	0.25159388516074
CPEB3	0.27210840848938	0.233503301800127	0.22021575855944	0.189074099320951	0.219232672501609	0.239069220754215	0.223507006683338	0.147079800842544	0.280149883094675
CPEB2	2.6215120539034	2.66478667969374	2.65491068396664	2.64511909016312	2.69670836775742	2.67920844124129	2.59398665058134	2.6517608072274	2.64797230837536
SRBD1	3.05359016919806	3.09627370114603	3.05025928481908	2.94560998022747	2.93639123762846	2.98360948390725	2.95723211334137	2.92707327489254	3.0036034530616
ABAT	3.24733120899491	3.25969692258255	3.34058187123401	3.26622658362691	3.28446515466939	3.23437515374948	3.23725029858176	3.28512748216246	3.27230824241992
POU5F1B	0.183612350802431	0.115412556269314	0.308300327190853	0.0784747566126056	0.10391654410717	0.113729271713636	0.160511751105414	0.364361969790673	0.335932163517179
LOC284865	0.0276063268241815	0	0	0	0	0	0.0239671758196458	0.0243771040310384	0
PHOX2A	0	0	0	0	0	0	0	0.0318696681754178	0
PHOX2B	0	0	0	0	0	0	0	0	0
UPK2	0.452614858230893	0.0664150503757671	0.26562137352577	0.413621370879706	0.373771818194306	0.354318538469183	0.355684876967367	0.217259426633016	0.391172792891993
CFH	0.944418206621928	0.98228355527963	1.10007517396825	0.880070737591764	0.878763838207788	1.05634348891071	0.915948611376565	0.839429448914162	1.05197890914241
CFI	1.38552663590504	1.55305724076094	1.49209696688877	1.28394379367051	1.32037573039504	1.32422418446277	1.08549612148966	1.14515805780712	1.35483949781742
ANKFY1	3.78148668386516	3.8002998132682	3.79889631887742	3.86955293827631	3.88282514589323	3.78038239314835	3.86362939128575	3.87652043065893	3.80930861910043
CFB	1.84300293680628	1.74302933626662	1.67330417014446	1.66643096509378	1.70885712579131	1.89741663285557	1.77558992655943	1.80194371454442	1.89298487566437
TPT1-AS1	3.03874254175516	3.1160478407481	2.92970398713134	3.26637779953231	3.06069291818953	3.04288723881279	3.15716242400059	3.19484816155079	3.09022757651107
CFP	0	0	0.0378645787739676	0	0.0317209367209892	0.0347987827955011	0.0882119689102993	0	0.0660208314033212
REREP3	0.715592156899347	0.989227825421423	0.55550256486952	0.287361421608685	0.71196081030075	0.671644972590005	0.549916526558817	0.887219448634593	0.7854574435248
AAAS	4.01794699213461	4.11171675280866	3.93421226713308	4.17394497708258	4.11121501200679	4.10288520605222	4.09799009410738	4.12123323596488	4.04210084358028
SIDT1	0.22900862761978	0.286789684468513	0.29452757173588	0.235280687047996	0.17148911056165	0.198216507263091	0.200583513432343	0.115638904307216	0.311430289766617
SIDT2	2.90251405419856	2.83398935169999	2.89605386226933	3.06919142412485	3.00504484270121	2.91361547520017	3.02154175369879	3.01236570553963	2.93722881341254
CDH24	1.63553485800458	1.67448611576968	1.53595676698401	1.78925084301476	1.73650136731439	1.55545740008861	1.67081856804143	1.67818931190857	1.50997015077384
PISRT1	0	0	0	0	0	0	0	0	0
LOC283070	0.458840156200906	0.348834817929566	0.37120048857195	0.489451054239152	0.258501107566065	0.480363332729318	0.534408689537357	0.445430142589938	0.370476802841408
SAGE1	0	0	0	0	0	0	0	0	0
AAGAB	5.18056564827683	5.18536301866013	5.21217932717077	5.11804506677873	5.15794453666964	5.12415147109596	5.08599266970555	5.04322758546181	5.17630592794711
C4orf19	0.334366251885457	0.380223301880247	0.216285925597912	0.289077267766338	0.285001174216513	0.256011257116664	0.198484275436448	0.226559094273383	0.232974844156016
SLC7A6OS	2.32612483547373	2.26563354674613	2.34644677223753	2.53267284452823	2.20453531241068	2.23194982855665	2.20020683758856	2.35052342334443	2.30865692061606
C4orf17	0	0	0.0410363395469015	0	0	0	0	0	0
ECEL1	0.0215490922392691	0	0	0	0.0197757735253303	0	0	0	0
EFHA1	4.71982693802525	4.70769395334775	4.74214482598611	4.5759077381495	4.57301543177721	4.64831261426789	4.50168699333159	4.56530814043875	4.68262026183743
EFHA2	0.881048908309705	0.887371456498131	0.842557654872532	0.717621294619105	0.865093040132725	0.733796392374997	0.821514323621556	0.761140759119734	0.954638138833914
AAA1	0	0	0.0109633087948404	0	0.00917056812758	0	0	0.00882059740593325	0
NBEAP1	0.394017575898224	0.567326490428007	0.331602026925022	0.646989279348007	0.720768481237167	0.707192446023851	0.806395524093833	0.872634412538414	0.750618803964689
ETV3L	0	0	0.0340410313426799	0	0	0.0312814712030545	0.0269697639463913	0.0543492901607018	0.0300118411079018
GCFC1-AS1	0.177521710102115	0.167043281628068	0.163129174994096	0.210759468347931	0.111111625112016	0.192666154080317	0.155146789001767	0.182364452984234	0.130741351050757
