	KRASWT-2.rpkmlog	KRASWT-3.rpkmlog	KRASWT-1.rpkmlog	KRASWT-6.rpkmlog	KRASWT-7.rpkmlog	KRASWT-8.rpkmlog	KRASWT-4.rpkmlog	KRASWT-9.rpkmlog	KRASWT-5.rpkmlog
MTVR2	0	0	0	0	0	0	0.0574439802912	0	0
CHMP1B	5.43112617274294	5.33956252348364	5.47820610546448	5.48923578019529	5.46758306415742	5.538510739859	5.41848411759826	5.42743410101216	5.39379255247811
DISC2	0	0	0	0	0	0	0	0	0
LOC100506866	0.192497062024053	0.14701118531268	0.108045630370227	0.205907691052628	0.114322721811408	0.143464789593645	0.22054933128423	0.171593647724741	0.149824074582044
LOC441204	0.101573902319319	0	0	0.0388858396868536	0.032916112351933	0	0	0	0
TCOF1	3.45293869438117	3.54794950736879	3.2950714369451	3.41871398572793	3.36459378149435	3.28124032187372	3.33651761844171	3.45246227047491	3.39583340776587
NSRP1	3.45910755169643	3.47257770006655	3.56770987087171	3.48302682579475	3.68413107324092	3.70087826261326	3.5731579737321	3.54153009817578	3.51922493462755
SPPL3	3.86503982046782	3.7264252885397	3.96816697018846	3.87722761733408	3.94943639124119	3.93276445473385	3.99658237760484	3.93174949121765	3.92767937004963
OPA3	2.54685415845893	2.48002856535293	2.509465218945	2.50305772713332	2.52276972026578	2.51318662070076	2.50337202405993	2.51400974745475	2.48341194257258
OPA1	4.20789660484868	4.18897054344015	4.29673546843447	4.25422139531708	4.22707487825308	4.21486332508071	4.18228190174518	4.22553264107649	4.12522949950829
ITGA8	0	0	0	0	0	0	0	0	0
ITGA9	0.367672821580521	0.291483962609334	0.416262372113974	0.318954120531961	0.318470459996428	0.275942716197836	0.25274983934694	0.327259859479941	0.287616833777171
ITGA1	1.0181523571828	0.912865503757147	1.05969647423777	0.883989758068304	0.9632060453592	0.992087971262623	0.988021026490264	1.08055739868825	1.02518535240354
ITGA2	5.34453270073735	5.32893603092025	5.41347565193946	5.40558700210639	5.34719054272006	5.31826087685208	5.24981245150727	5.37353998947111	5.29926896330259
ITGA3	8.68599351787532	8.72209867957119	8.61364979442455	8.61913378479383	8.62054992888246	8.58728363975762	8.64969375486131	8.62168006732464	8.77833557177827
ITGA4	2.21270327767758	2.23766215056279	2.2842804357562	2.31677217864437	2.10704308829213	2.24277640441541	2.07879880963796	2.27034067022385	2.12262691952883
ITGA5	6.01534283983716	6.00186361035074	5.87122892579657	5.98147851165339	5.93477964719735	5.86541795869505	5.97108778780779	5.98923313788368	5.9987330743152
